time;A;Bb;B;C;C#;D;D#;E;F;F#;G;G#;A pf;Bb pf;B pf;C pf;C# pf;D pf;D# pf;E pf;F pf;F# pf;G pf;G# pf
0;65/64;25/24;35/32;75/64;5/4;85/64;45/32;95/64;25/16;5/3;55/32;15/8;Some([-1, 0, 1, 0, 0, 1]);Some([0, -1, 2]);Some([-1, 0, 1, 1]);Some([-1, 1, 2]);Some([0, 0, 1]);Some([0, 0, 1, 0, 0, 0, 1]);Some([-1, 2, 1]);Some([0, 0, 1, 0, 0, 0, 0, 1]);Some([0, 0, 2]);Some([1, -1, 1]);Some([0, 0, 1, 0, 1]);Some([0, 1, 1])
18.448;0/1;0/1;0/1;0/1;0/1;125/96;0/1;0/1;0/1;0/1;0/1;175/96;None;None;None;None;None;Some([0, -1, 3]);None;None;None;None;None;Some([0, -1, 2, 1])
21.328;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;15/8;None;None;None;None;None;None;None;None;None;None;None;Some([0, 1, 1])
22.406;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;175/96;None;None;None;None;None;None;None;None;None;None;None;Some([0, -1, 2, 1])
28.578;1365/1408;0/1;195/176;0/1;1755/1408;0/1;0/1;0/1;0/1;585/352;0/1;15/8;Some([-2, 1, 1, 1, -1, 1]);None;Some([-1, 1, 1, 0, -1, 1]);None;Some([-2, 3, 1, 0, -1, 1]);None;None;None;None;Some([-1, 2, 1, 0, -1, 1]);None;Some([0, 1, 1])
39.34;0/1;0/1;0/1;0/1;0/1;0/1;975/704;0/1;195/128;0/1;0/1;0/1;None;None;None;None;None;None;Some([-1, 1, 2, 0, -1, 1]);None;Some([-1, 1, 1, 0, 0, 1]);None;None;None
47.969;65/64;25/24;35/32;0/1;5/4;0/1;45/32;0/1;25/16;5/3;0/1;0/1;Some([-1, 0, 1, 0, 0, 1]);Some([0, -1, 2]);Some([-1, 0, 1, 1]);None;Some([0, 0, 1]);None;Some([-1, 2, 1]);None;Some([0, 0, 2]);Some([1, -1, 1]);None;None
56.076;0/1;0/1;0/1;0/1;0/1;0/1;0/1;35/24;0/1;0/1;0/1;0/1;None;None;None;None;None;None;None;Some([0, -1, 1, 1]);None;None;None;None
59.141;0/1;0/1;0/1;0/1;0/1;0/1;155/112;0/1;0/1;0/1;0/1;0/1;None;None;None;None;None;None;Some([0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1]);None;None;None;None;None
61.109;0/1;0/1;0/1;0/1;0/1;0/1;45/32;0/1;0/1;0/1;0/1;0/1;None;None;None;None;None;None;Some([-1, 2, 1]);None;None;None;None;None
